## Site Characteristics
Country     = 'Germany'
Station     = 'Bremen'
Description = 'Weather Data from the DWD Station 691 in Bremen'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 8.80; Latitude = 53.05; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20090101,2660,-2.8,1.7,0.54,2.4,0,NaN
20090102,2610,-8,1.3,0.5,2.2,0,NaN
20090103,1370,-8,3,0.51,4.4,4.2,NaN
20090104,720,0.4,3.9,0.68,6,6.4,NaN
20090105,1870,-8.1,0.5,0.41,3.7,0,NaN
20090106,3950,-10.8,-2.3,0.3,1.2,0,NaN
20090107,1610,-10.4,0.4,0.43,3.6,0.4,NaN
20090108,2230,-11.1,-4.5,0.35,1.5,0,NaN
20090109,850,-7.1,-0.7,0.44,2,0,NaN
20090110,4010,-7.3,1.8,0.45,2,0,NaN
20090111,3620,-6,1.8,0.38,3.9,0,NaN
20090112,2710,-1.8,7.1,0.41,5.2,0.5,NaN
20090113,590,3.4,6.4,0.76,4.6,7.1,NaN
20090114,620,2.6,4.1,0.78,2.2,0.7,NaN
20090115,1380,1.2,3.3,0.71,1.9,0,NaN
20090116,2250,0,2.2,0.6,4.9,0,NaN
20090117,1470,0.2,5.2,0.66,3.5,0.9,NaN
20090118,630,2.1,5.8,0.73,5.7,1.5,NaN
20090119,1470,1.1,7.4,0.67,5.7,2.1,NaN
20090120,2380,-0.4,6.2,0.63,4.6,0,NaN
20090121,3720,-2.6,4.5,0.58,2.1,0,NaN
20090122,2810,-1.2,5,0.58,5.6,0.5,NaN
20090123,510,0.7,4.1,0.65,5.6,12.1,NaN
20090124,2120,1.6,5.8,0.73,5.4,0.2,NaN
20090125,4630,-0.6,5.2,0.62,3.2,0,NaN
20090126,1730,-3.8,0.5,0.53,3,0,NaN
20090127,1260,-2.9,-0.5,0.52,2.5,0,NaN
20090128,1630,-3.5,-1.2,0.51,2.7,0,NaN
20090129,4310,-3,1.1,0.49,3.9,0,NaN
20090130,2270,-3.2,-0.1,0.46,4.7,0,NaN
20090131,3350,-1.7,2.8,0.53,4.2,0,NaN
20090201,1870,-3.8,0.8,0.41,6.6,0,NaN
20090202,1890,-1,2.6,0.51,7.5,0,NaN
