## Site Characteristics
Country     = 'Germany'
Station     = 'Bremen'
Description = 'Weather Data from the DWD Station 691 in Bremen'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 8.80; Latitude = 53.05; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,1050,-3.6,-0.4,0.53,1.7,0,NaN
20200102,441,-4.6,4.5,0.59,3.4,0,NaN
20200103,553,4,9,0.91,5.7,4.4,NaN
20200104,483,1.9,7.7,0.77,6.7,2.6,NaN
20200105,546,-0.7,6.5,0.75,3.1,0,NaN
20200106,840,0,6.5,0.75,3.6,0.1,NaN
20200107,1386,0.6,8.4,0.83,4.7,0,NaN
20200108,469,7.3,11.3,1.08,5.3,0.4,NaN
20200109,350,8.9,12.5,1.23,4.6,6.7,NaN
20200110,1127,2.4,12.1,0.95,6.1,0.7,NaN
20200111,1918,0.3,6.7,0.69,4.9,0,NaN
20200112,553,5.5,9.1,0.83,8.3,1.3,NaN
20200113,2002,2.6,8.7,0.84,4.2,0.9,NaN
20200114,861,6.8,12.3,1,7.9,1.2,NaN
20200115,2415,5.3,13.8,0.95,7.7,0.3,NaN
20200116,3003,3.1,9.9,0.83,3.8,0,NaN
20200117,1911,4.6,10.9,0.89,4.3,0.9,NaN
20200118,1834,1.2,6.4,0.73,5.6,2.3,NaN
20200119,2023,-0.1,7.5,0.71,3.5,0.3,NaN
20200120,1708,1.9,6.4,0.8,2.7,0,NaN
20200121,3255,0.9,6.4,0.71,3.9,0,NaN
20200122,1064,0.5,7.8,0.81,3.5,0,NaN
20200123,2856,-3.4,7.4,0.71,1.5,0,NaN
20200124,938,-3.6,2.1,0.62,3.2,0,NaN
20200125,854,0.3,2.9,0.67,3.2,0,NaN
20200126,1267,0.4,4.9,0.69,3.3,0.7,NaN
20200127,917,4.2,9,0.92,4.5,2,NaN
20200128,1008,2.1,7.2,0.78,7.7,3.2,NaN
20200129,1183,3,5.5,0.73,7.4,6.2,NaN
20200130,1281,4.5,10.2,0.89,7.9,0.4,NaN
20200131,2058,8,12.5,1.07,8.5,1.1,NaN
20200201,1155,8.3,12.4,1.09,8.1,0.4,NaN
20200202,735,5.9,8.9,0.93,4.4,5.7,NaN
20200203,1155,5.2,9.5,0.95,6.3,2.6,NaN
20200204,3276,3.4,7.3,0.73,5.8,1.9,NaN
20200205,4956,-3.5,7,0.59,3.8,0,NaN
20200206,1260,1.2,6.7,0.76,3.6,0,NaN
20200207,1785,2.3,6.9,0.73,3.3,0,NaN
20200208,2114,0,9.1,0.71,3.3,0.1,NaN
20200209,1554,5.9,12.9,0.92,10,12.6,NaN
20200210,2667,0.1,10.1,0.78,10.2,9.5,NaN
20200211,2240,1.7,6.2,0.66,11.2,1.4,NaN
20200212,4305,2.4,6.8,0.62,10.5,0.2,NaN
20200213,819,0.3,4.1,0.68,4.8,8.5,NaN
20200214,1974,3.4,6.7,0.8,2.9,0.4,NaN
20200215,4186,4.2,12.1,0.85,5.9,0,NaN
20200216,861,8.6,18.1,1.08,9.9,9,NaN
20200217,4214,5.6,10.7,0.79,8.9,1.9,NaN
20200218,4060,5,8.5,0.78,8.2,1.4,NaN
20200219,3038,1.6,7.3,0.75,7.1,1.3,NaN
20200220,1715,1.9,9.7,0.86,6.1,5.2,NaN
20200221,3570,3.9,8.4,0.76,8.5,0,NaN
20200222,1547,6.7,9.8,0.84,10.5,2.5,NaN
20200223,1057,3.8,8.4,0.82,6.9,13.7,NaN
20200224,1414,4,10.3,0.84,6.4,13.9,NaN
20200225,4669,1.6,10.3,0.73,8.5,0.4,NaN
20200226,4046,1.3,6.5,0.7,4.1,3.1,NaN
20200227,2947,1.2,4.6,0.68,3.7,2.9,NaN
20200228,6342,0.6,7.6,0.67,6.1,12.2,NaN
20200229,4935,1,13.9,0.87,7.2,2.4,NaN
20200301,4606,4.6,9.4,0.7,7,0.2,NaN
20200302,4452,2.3,9.4,0.76,3.2,3.3,NaN
20200303,6825,1.3,9.4,0.76,4,0.9,NaN
20200304,3549,1,8.3,0.74,2.8,2.4,NaN
20200305,5481,1.3,8.9,0.72,4,5.8,NaN
20200306,1526,3.3,6.7,0.76,5.6,7.8,NaN
20200307,5936,3.2,9.4,0.71,4.7,0,NaN
20200308,3948,6.7,11.2,0.9,6,1.4,NaN
20200309,6517,5.9,11.3,0.89,4.9,5.3,NaN
20200310,1708,5.2,12.5,1.07,7.6,7,NaN
20200311,8155,6.2,13.4,0.94,6.3,2.2,NaN
