## Site Characteristics
Country     = 'Germany'
Station     = 'Chemnitz, Sachsen'
Description = 'Weather Data from the DWD Station 853 in Chemnitz'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 12.8720; Latitude = 50.7913; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20090101,455,-7.5,-4.5,0.37,3.7,0.1,NaN
20090102,1029,-5.6,-3.1,0.44,2.3,0.6,NaN
20090103,3367,-10.3,-2.9,0.31,4,1.4,NaN
20090104,1533,-3.7,-2.4,0.49,8.3,10.4,NaN
20090105,679,-15.4,-2.2,0.39,5.9,0.8,NaN
20090106,3675,-19.5,-13.1,0.14,2,0,NaN
20090107,2072,-18,-6.1,0.26,4.6,0.4,NaN
20090108,3528,-10.7,-4.7,0.32,1.8,0,NaN
20090109,3640,-11.5,-1.3,0.22,1.9,0,NaN
20090110,3563,-6.4,2.3,0.34,2.2,0,NaN
20090111,3689,-9.9,-0.1,0.29,3,0,NaN
20090112,3920,-6.9,5,0.27,2.7,0,NaN
20090113,3598,-4.3,5.6,0.29,2.8,0,NaN
20090114,2933,-3.4,1,0.36,3.1,0.9,NaN
20090115,1435,-2.6,1,0.6,2.1,0,NaN
20090116,3556,-2.5,2.5,0.51,2.5,0,NaN
20090117,1813,-1.7,3.3,0.56,5.1,1.4,NaN
20090118,2086,1,5,0.62,6.9,0.4,NaN
20090119,2464,-0.2,4.8,0.58,6.7,0,NaN
20090120,1232,-0.5,5.7,0.62,4.6,0,NaN
20090121,1078,-1.7,1.9,0.52,2,0,NaN
20090122,4424,-2.4,4.1,0.46,3.7,0,NaN
20090123,1736,-2.7,5.3,0.51,6.2,0.3,NaN
20090124,3395,0.8,3.6,0.56,6.1,0.6,NaN
20090125,2359,-0.7,3.7,0.59,2.2,0,NaN
20090126,3227,-1.9,1.2,0.52,2.6,0,NaN
20090127,847,-2.5,-0.7,0.55,2.3,0,NaN
20090128,735,-3.2,-2,0.5,3,0,NaN
