## Site Characteristics
Country     = 'Germany'
Station     = 'Chemnitz, Sachsen'
Description = 'Weather Data from the DWD Station 853 in Chemnitz'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 12.8720; Latitude = 50.7913; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20090101,325,-7.5,-4.5,0.37,3.7,0.1,NaN
20090102,735,-5.6,-3.1,0.44,2.3,0.6,NaN
20090103,2405,-10.3,-2.9,0.31,4,1.4,NaN
20090104,1095,-3.7,-2.4,0.49,8.3,10.4,NaN
20090105,485,-15.4,-2.2,0.39,5.9,0.8,NaN
20090106,2625,-19.5,-13.1,0.14,2,0,NaN
20090107,1480,-18,-6.1,0.26,4.6,0.4,NaN
20090108,2520,-10.7,-4.7,0.32,1.8,0,NaN
20090109,2600,-11.5,-1.3,0.22,1.9,0,NaN
20090110,2545,-6.4,2.3,0.34,2.2,0,NaN
20090111,2635,-9.9,-0.1,0.29,3,0,NaN
20090112,2800,-6.9,5,0.27,2.7,0,NaN
20090113,2570,-4.3,5.6,0.29,2.8,0,NaN
20090114,2095,-3.4,1,0.36,3.1,0.9,NaN
20090115,1025,-2.6,1,0.6,2.1,0,NaN
20090116,2540,-2.5,2.5,0.51,2.5,0,NaN
20090117,1295,-1.7,3.3,0.56,5.1,1.4,NaN
20090118,1490,1,5,0.62,6.9,0.4,NaN
20090119,1760,-0.2,4.8,0.58,6.7,0,NaN
20090120,880,-0.5,5.7,0.62,4.6,0,NaN
20090121,770,-1.7,1.9,0.52,2,0,NaN
20090122,3160,-2.4,4.1,0.46,3.7,0,NaN
20090123,1240,-2.7,5.3,0.51,6.2,0.3,NaN
20090124,2425,0.8,3.6,0.56,6.1,0.6,NaN
20090125,1685,-0.7,3.7,0.59,2.2,0,NaN
20090126,2305,-1.9,1.2,0.52,2.6,0,NaN
20090127,605,-2.5,-0.7,0.55,2.3,0,NaN
20090128,525,-3.2,-2,0.5,3,0,NaN
20090129,920,-3,-1.2,0.47,3.6,0,NaN
20090130,545,-3.3,-2.3,0.42,3.1,0,NaN
20090131,960,-4.7,-1.5,0.48,3.2,0.9,NaN
20090201,2025,-5.4,-1.5,0.41,3.9,0,NaN
20090202,1380,-1.7,2.6,0.53,5.5,0,NaN
20090203,2625,-0.7,5.4,0.61,3.3,0,NaN
20090204,3670,-2.2,5.4,0.57,1.9,0,NaN
20090205,3105,-0.2,9.8,0.61,2.4,0,NaN
20090206,3945,0.9,7.7,0.55,3.1,0,NaN
20090207,3440,-1,7,0.6,2,1.3,NaN
20090208,1300,-0.7,1.3,0.55,4.4,0,NaN
20090209,3970,-1.5,2.4,0.47,5.3,2.7,NaN
20090210,1980,-0.8,6.7,0.63,8.6,5.2,NaN
20090211,1290,-3.5,-0.4,0.53,8.7,3.4,NaN
20090212,2875,-6,-1.8,0.44,4.3,0.2,NaN
20090213,4490,-7.3,-1.4,0.41,3.4,0.7,NaN
20090214,1665,-7,-1.5,0.41,4.3,0,NaN
20090215,2980,-6.5,-3,0.36,6.2,1.5,NaN
20090216,1460,-3.7,0.2,0.55,6.8,6.1,NaN
20090217,3895,-6.9,-0.1,0.45,5.4,0.7,NaN
20090218,3185,-6.6,-4,0.38,3.4,0.1,NaN
20090219,3295,-9.4,-2.6,0.35,4.9,1,NaN
20090220,1440,-4,0.3,0.56,6.4,4.2,NaN
20090221,1530,-1.3,0.3,0.59,3.3,2.9,NaN
20090222,1450,-0.4,2.1,0.65,6.6,3.9,NaN
20090223,1520,-1.4,1.7,0.63,7.3,10.9,NaN
20090224,1225,-1.9,-0.4,0.57,3.9,0.2,NaN
20090225,4800,-2.7,2.2,0.56,5.5,0.1,NaN
20090226,1835,0.2,2.8,0.62,8.2,13.2,NaN
20090227,2885,1.2,4.4,0.69,6.7,7.6,NaN
20090228,1920,2.3,4.8,0.79,4,2.1,NaN
20090301,5445,2,9.9,0.78,2,0,NaN
20090302,2050,4.1,8.1,0.8,4.5,1.9,NaN
20090303,3890,1.9,6.6,0.64,2.4,0,NaN
20090304,4425,2,7.4,0.69,3.6,0,NaN
20090305,3610,4.3,11.3,0.81,3.9,1.5,NaN
20090306,1035,2.6,6.1,0.85,2.7,1.3,NaN
20090307,625,-0.1,2.6,0.67,5.2,1.6,NaN
20090308,2645,-0.4,5.7,0.69,6.9,5.5,NaN
20090309,3340,1.3,5,0.63,7,3.6,NaN
20090310,2715,0.1,4.7,0.66,7.1,8.9,NaN
20090311,2740,0,4.3,0.65,4.9,2,NaN
20090312,2115,0.7,4.3,0.67,6.7,8.2,NaN
20090313,2405,3.4,7.8,0.76,5.6,0.7,NaN
20090314,5085,2.2,10.1,0.73,4.3,4.8,NaN
20090315,1755,4.2,6.6,0.86,6.2,8.3,NaN
