## Site Characteristics
Country     = 'Germany'
Station     = 'Chemnitz, Sachsen'
Description = 'Weather Data from the DWD Station 853 in Chemnitz'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 12.8720; Latitude = 50.7913; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20180101,1460,3.2,9.9,0.67,8.7,2,NaN
20180102,560,0.7,4.7,0.66,6.9,5.7,NaN
20180103,930,1.9,7.2,0.68,10.7,3,NaN
20180104,705,3.8,8,0.69,8.9,1.3,NaN
20180105,535,3.9,7.8,0.76,7.9,2.2,NaN
20180106,1330,3.8,8.2,0.81,3.4,6.7,NaN
20180107,295,0.4,4.6,0.66,5.1,1.4,NaN
20180108,980,0,4.7,0.62,4.2,0,NaN
20180109,1075,4.2,9.1,0.78,4.2,0,NaN
20180110,2300,1.2,9.9,0.69,2.3,0,NaN
20180111,2090,-0.8,6.3,0.64,1.7,0,NaN
20180112,470,1.8,3.3,0.7,1.6,0,NaN
20180113,400,-2.7,2,0.53,2.8,0,NaN
20180114,1180,-2.2,0.1,0.42,3.5,0,NaN
20180115,2620,-2.6,3.7,0.43,4.1,0,NaN
20180116,820,-0.2,4.6,0.59,8.7,4.1,NaN
20180117,930,-1.2,0.7,0.52,7.9,4.1,NaN
20180118,1405,-0.4,6.4,0.54,11.8,0.3,NaN
20180119,925,-0.6,1.8,0.54,4.7,3.1,NaN
20180120,2395,-2,1.6,0.5,4.6,0.5,NaN
20180121,770,-2.9,0,0.51,2.3,0.4,NaN
20180122,1200,-3.2,1.8,0.5,2.9,6,NaN
20180123,885,1.3,4.6,0.68,5.7,1.2,NaN
20180124,2420,4,10.6,0.82,7.6,0,NaN
20180125,1345,7.1,10.5,0.8,6.5,0.1,NaN
20180126,945,4.3,8.5,0.79,3.1,3.4,NaN
20180127,915,2,5.4,0.77,2.1,0.5,NaN
20180128,860,3.1,6.9,0.73,10,0,NaN
20180129,1945,4.4,8.5,0.81,11.1,2.9,NaN
20180130,3410,-0.7,4.8,0.57,5.7,0,NaN
20180131,1350,0.3,7.1,0.71,8.4,2.2,NaN
20180201,1355,-0.5,5.4,0.59,5.3,0,NaN
20180202,2760,-1.4,3.5,0.5,6.7,0,NaN
20180203,1040,-2.8,1.9,0.53,3.8,2.6,NaN
20180204,870,-4.9,-1.2,0.48,3.1,0,NaN
20180205,3080,-7.3,-1.3,0.38,2.7,0,NaN
20180206,4090,-8.7,-0.1,0.32,2.4,0,NaN
20180207,3840,-6.7,1.2,0.38,2.2,0,NaN
20180208,2405,-6.1,-1.7,0.38,1.5,0,NaN
20180209,3870,-5.5,0.3,0.41,1.6,0,NaN
20180210,1235,-2.4,0.6,0.46,2.9,0,NaN
20180211,2355,-2.2,3.7,0.5,6.6,0,NaN
