## Site Characteristics
Country     = 'Germany'
Station     = 'Bremen'
Description = 'Weather Data from the DWD Station 691 in Bremen'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 8.80; Latitude = 53.05; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20180101,1285,3.2,9.2,0.8,6.9,0.9,NaN
20180102,1095,2.2,7,0.78,4.5,8.7,NaN
20180103,565,5,9.3,0.85,11,20.2,NaN
20180104,595,4.7,8.4,0.88,6.9,3.1,NaN
20180105,755,3.4,7.5,0.76,7,0.1,NaN
20180106,665,2.8,6.6,0.73,4.3,0.1,NaN
20180107,1387.5,-4.1,2.9,0.47,4.9,0,NaN
20180108,2110,-4.7,2.4,0.33,5.6,0,NaN
20180109,1205,-1.4,3.3,0.5,4.9,1.3,NaN
20180110,755,0.3,5.7,0.73,2.4,0,NaN
20180111,1940,-3,6.8,0.68,1.8,1.9,NaN
20180112,270,2.2,3.2,0.72,3,0,NaN
20180113,395,0.2,2.8,0.64,5.2,0,NaN
20180114,1830,-1,1.9,0.47,5.6,0,NaN
20180115,815,-1.2,6,0.61,6.5,3.5,NaN
20180116,745,1.3,6.4,0.71,5.8,7.3,NaN
20180117,1195,0.5,3.8,0.63,6.8,3.7,NaN
20180118,490,0.7,5.8,0.68,7.1,14.9,NaN
20180119,870,-1.5,4.1,0.64,3.6,0.7,NaN
20180120,965,-2,3.7,0.62,3.2,0.4,NaN
20180121,685,-1.5,2.1,0.61,1.8,0.1,NaN
20180122,400,0.8,6.2,0.7,3.6,0.1,NaN
20180123,1130,5.6,9,0.89,4.8,2.3,NaN
20180124,660,7.8,13.9,1.14,7.5,2.1,NaN
20180125,1175,5.5,8.9,0.93,4,0.9,NaN
20180126,865,3,6.7,0.87,2.1,0,NaN
20180127,1030,3,7.1,0.78,4.1,1.2,NaN
20180128,1370,5.4,10.4,1.01,8.5,1.7,NaN
20180129,675,4.8,10.7,1,9.4,9.3,NaN
20180130,1970,1.9,6.7,0.72,5.3,0.6,NaN
20180131,610,1,9.7,0.8,6,2.3,NaN
20180201,1455,0.6,4.1,0.63,6,0,NaN
20180202,915,1.6,5.2,0.69,4.5,1.7,NaN
20180203,1170,-0.7,2.4,0.53,3.7,0.7,NaN
20180204,1170,-1.6,1.6,0.55,3.7,0.2,NaN
20180205,915,-1.6,1.9,0.52,3.9,0,NaN
20180206,3410,-5.2,-0.2,0.38,3,0,NaN
20180207,3690,-6.8,0.5,0.35,2.3,0,NaN
20180208,3470,-8.5,0.7,0.37,1.7,0,NaN
20180209,3440,-5.2,2.3,0.43,3,0,NaN
20180210,1010,-6,1.7,0.52,2.2,0.2,NaN
20180211,1580,0.3,6.6,0.61,6.7,2.7,NaN
20180212,3400,-0.7,4.7,0.57,6.1,0.7,NaN
20180213,4150,-2.7,5.1,0.51,3.6,0,NaN
20180214,4440,-3.1,4.8,0.42,4.5,0,NaN
20180215,685,0.2,4.1,0.56,5.3,1.6,NaN
20180216,3440,-1.5,6.8,0.61,3.9,0,NaN
20180217,2895,-4.3,5.6,0.58,1.2,0,NaN
20180218,4165,-5,5.5,0.5,2.2,0,NaN
20180219,3965,-2.1,6.1,0.53,1.5,0,NaN
20180220,4215,-4.6,5,0.48,2.7,0,NaN
20180221,3710,-4.1,4,0.44,2.7,0,NaN
20180222,2875,-3.8,3.7,0.49,2.9,0,NaN
20180223,5150,-4.1,2,0.41,4.6,0,NaN
20180224,3425,-5.5,2.7,0.34,5.4,0,NaN
20180225,3955,-7.8,-0.4,0.33,4.2,0.5,NaN
20180226,4165,-7.1,-0.9,0.34,5.1,0,NaN
20180227,4700,-7.2,-1,0.33,4.7,0.1,NaN
20180228,4110,-11.4,-6.1,0.19,6.8,0,NaN
20180301,6000,-9.7,-2.3,0.21,8.1,0,NaN
20180302,5950,-10.5,-1.7,0.21,7.1,0,NaN
20180303,5935,-9.8,-0.3,0.22,6.2,0,NaN
