## Site Characteristics
Country     = 'Germany'
Station     = 'Chemnitz, Sachsen'
Description = 'Weather Data from the DWD Station 853 in Chemnitz'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 12.8720; Latitude = 50.7913; Elevation = 416; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,2195,-0.6,6.3,0.49,2.1,0,NaN
20200102,2345,-0.5,8.5,0.4,3.2,0,NaN
20200103,520,0.4,6.9,0.7,8.7,2.8,NaN
20200104,365,0.9,5.4,0.64,8.2,2.4,NaN
20200105,950,-0.3,1.7,0.5,4,0,NaN
20200106,455,-0.2,3.3,0.58,3.8,0,NaN
20200107,490,0.2,2.7,0.59,5.6,0.1,NaN
20200108,440,1.7,6.9,0.71,7.1,4.4,NaN
20200109,0,5.6,10,0.98,6.1,3,NaN
20200110,1155,3.3,9.6,0.85,8,2,NaN
20200111,1380,-0.2,4,0.59,5.1,0,NaN
20200112,2170,0,6.1,0.54,7.1,0,NaN
20200113,1175,1.6,4.7,0.65,5.6,0,NaN
20200114,1820,2.3,10.1,0.65,7.7,0,NaN
20200115,1910,6.6,13.1,0.63,6.9,0,NaN
20200116,0,5.5,11.5,0.79,3.7,0,NaN
20200117,2560,3.7,8.2,0.67,4.6,0.1,NaN
20200118,1440,2.1,6,0.64,5.4,0.2,NaN
20200119,485,0.3,2.1,0.63,2.7,0.3,NaN
20200120,1530,-1.8,3.5,0.58,1.7,0,NaN
20200121,2955,-4.5,3.2,0.47,2.8,0,NaN
20200122,1490,-3.8,0.7,0.5,4,0,NaN
20200123,1690,-3,2.5,0.53,1.7,0,NaN
20200124,3195,-4.3,2.6,0.45,3.2,0,NaN
20200125,1295,-4.5,-1.3,0.47,1.8,0,NaN
20200126,1085,-2.2,5.3,0.59,2.8,0.4,NaN
20200127,2835,2.5,8.2,0.7,6.4,0.1,NaN
20200128,0,1.6,7,0.06,7.55,1.8,NaN
20200129,0,0.6,3,0.06,7.55,0.5,NaN
20200130,1525,1,7.7,0.62,8.7,0.3,NaN
20200131,1850,6.6,12.1,0.97,9.4,0,NaN
20200201,1440,6.8,12.5,1,9.3,4.2,NaN
20200202,1240,4.6,10.6,0.84,7.6,10.2,NaN
20200203,1040,5.1,8.7,0.83,7.3,19.3,NaN
20200204,1815,-0.1,5.2,0.64,6.6,4,NaN
20200205,2640,-2.5,1.6,0.51,6.6,3.9,NaN
20200206,850,-2.6,1.8,0.52,4.8,0.1,NaN
20200207,1425,0.6,3.6,0.6,2.2,0.2,NaN
20200208,4160,-1.1,8.9,0.55,2.7,0,NaN
20200209,3740,3.6,11.1,0.69,9.8,7.3,NaN
