## Site Characteristics
Country     = 'Germany'
Station     = 'Chemnitz, Sachsen'
Description = 'Weather Data from the DWD Station 853 in Chemnitz'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 12.8720; Latitude = 50.7913; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20180101,2044,3.2,9.9,0.67,8.7,2,NaN
20180102,784,0.7,4.7,0.66,6.9,5.7,NaN
20180103,1302,1.9,7.2,0.68,10.7,3,NaN
20180104,987,3.8,8,0.69,8.9,1.3,NaN
20180105,749,3.9,7.8,0.76,7.9,2.2,NaN
20180106,1862,3.8,8.2,0.81,3.4,6.7,NaN
20180107,413,0.4,4.6,0.66,5.1,1.4,NaN
20180108,1372,0,4.7,0.62,4.2,0,NaN
20180109,1505,4.2,9.1,0.78,4.2,0,NaN
20180110,3220,1.2,9.9,0.69,2.3,0,NaN
20180111,2926,-0.8,6.3,0.64,1.7,0,NaN
20180112,658,1.8,3.3,0.7,1.6,0,NaN
20180113,560,-2.7,2,0.53,2.8,0,NaN
20180114,1652,-2.2,0.1,0.42,3.5,0,NaN
20180115,3668,-2.6,3.7,0.43,4.1,0,NaN
20180116,1148,-0.2,4.6,0.59,8.7,4.1,NaN
20180117,1302,-1.2,0.7,0.52,7.9,4.1,NaN
20180118,1967,-0.4,6.4,0.54,11.8,0.3,NaN
20180119,1295,-0.6,1.8,0.54,4.7,3.1,NaN
20180120,3353,-2,1.6,0.5,4.6,0.5,NaN
20180121,1078,-2.9,0,0.51,2.3,0.4,NaN
20180122,1680,-3.2,1.8,0.5,2.9,6,NaN
20180123,1239,1.3,4.6,0.68,5.7,1.2,NaN
20180124,3388,4,10.6,0.82,7.6,0,NaN
20180125,1883,7.1,10.5,0.8,6.5,0.1,NaN
20180126,1323,4.3,8.5,0.79,3.1,3.4,NaN
20180127,1281,2,5.4,0.77,2.1,0.5,NaN
20180128,1204,3.1,6.9,0.73,10,0,NaN
20180129,2723,4.4,8.5,0.81,11.1,2.9,NaN
20180130,4774,-0.7,4.8,0.57,5.7,0,NaN
20180131,1890,0.3,7.1,0.71,8.4,2.2,NaN
20180201,1897,-0.5,5.4,0.59,5.3,0,NaN
20180202,3864,-1.4,3.5,0.5,6.7,0,NaN
20180203,1456,-2.8,1.9,0.53,3.8,2.6,NaN
20180204,1218,-4.9,-1.2,0.48,3.1,0,NaN
20180205,4312,-7.3,-1.3,0.38,2.7,0,NaN
20180206,5726,-8.7,-0.1,0.32,2.4,0,NaN
20180207,5376,-6.7,1.2,0.38,2.2,0,NaN
20180208,3367,-6.1,-1.7,0.38,1.5,0,NaN
20180209,5418,-5.5,0.3,0.41,1.6,0,NaN
20180210,1729,-2.4,0.6,0.46,2.9,0,NaN
20180211,3297,-2.2,3.7,0.5,6.6,0,NaN
20180212,3332,-4.1,2.1,0.5,5,0.8,NaN
20180213,5663,-4.6,1.7,0.39,2.8,0,NaN
20180214,7070,-5.7,2.6,0.35,1.9,0,NaN
20180215,3402,-4.5,1.7,0.39,3.5,2.5,NaN
20180216,6398,-1.5,5.8,0.56,4.5,0,NaN
20180217,3591,-2.3,2.3,0.49,2.5,0.2,NaN
20180218,1484,-2.1,1.3,0.49,1.5,0,NaN
20180219,6188,-4.5,2.8,0.39,1.8,0,NaN
20180220,5432,-4.5,2.5,0.41,2.2,0,NaN
20180221,6195,-6.3,0.1,0.37,3.4,0,NaN
20180222,7287,-6.8,-0.5,0.31,4.9,0,NaN
20180223,8344,-8.6,-2.3,0.27,4.7,0,NaN
20180224,7147,-9.9,-2.2,0.23,5.2,0,NaN
20180225,8925,-12.5,-5.3,0.18,4.2,0,NaN
20180226,6181,-13.2,-7.2,0.19,4.5,0,NaN
20180227,8407,-15.4,-6.5,0.16,4.4,0,NaN
20180228,7875,-14.4,-6.9,0.17,4.3,0,NaN
20180301,8974,-12.3,-2.9,0.18,4.3,0,NaN
