## Site Characteristics
Country     = 'Germany'
Station     = 'Bremen'
Description = 'Weather Data from the DWD Station 691 in Bremen'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 8.80; Latitude = 53.05; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20090101,1330,-2.8,1.7,0.54,2.4,0,NaN
20090102,1305,-8,1.3,0.5,2.2,0,NaN
20090103,685,-8,3,0.51,4.4,4.2,NaN
20090104,360,0.4,3.9,0.68,6,6.4,NaN
20090105,935,-8.1,0.5,0.41,3.7,0,NaN
20090106,1975,-10.8,-2.3,0.3,1.2,0,NaN
20090107,805,-10.4,0.4,0.43,3.6,0.4,NaN
20090108,1115,-11.1,-4.5,0.35,1.5,0,NaN
20090109,425,-7.1,-0.7,0.44,2,0,NaN
20090110,2005,-7.3,1.8,0.45,2,0,NaN
20090111,1810,-6,1.8,0.38,3.9,0,NaN
20090112,1355,-1.8,7.1,0.41,5.2,0.5,NaN
20090113,295,3.4,6.4,0.76,4.6,7.1,NaN
20090114,310,2.6,4.1,0.78,2.2,0.7,NaN
20090115,690,1.2,3.3,0.71,1.9,0,NaN
20090116,1125,0,2.2,0.6,4.9,0,NaN
20090117,735,0.2,5.2,0.66,3.5,0.9,NaN
20090118,315,2.1,5.8,0.73,5.7,1.5,NaN
20090119,735,1.1,7.4,0.67,5.7,2.1,NaN
20090120,1190,-0.4,6.2,0.63,4.6,0,NaN
20090121,1860,-2.6,4.5,0.58,2.1,0,NaN
20090122,1405,-1.2,5,0.58,5.6,0.5,NaN
20090123,255,0.7,4.1,0.65,5.6,12.1,NaN
20090124,1060,1.6,5.8,0.73,5.4,0.2,NaN
20090125,2315,-0.6,5.2,0.62,3.2,0,NaN
20090126,865,-3.8,0.5,0.53,3,0,NaN
20090127,630,-2.9,-0.5,0.52,2.5,0,NaN
20090128,815,-3.5,-1.2,0.51,2.7,0,NaN
20090129,2155,-3,1.1,0.49,3.9,0,NaN
20090130,1135,-3.2,-0.1,0.46,4.7,0,NaN
20090131,1675,-1.7,2.8,0.53,4.2,0,NaN
20090201,935,-3.8,0.8,0.41,6.6,0,NaN
20090202,945,-1,2.6,0.51,7.5,0,NaN
20090203,865,1,2.4,0.59,3.8,0,NaN
20090204,695,0.4,2.1,0.62,1.6,0.3,NaN
20090205,1000,0.3,5.1,0.68,2.6,0.1,NaN
20090206,3025,3,9.4,0.78,3.2,0,NaN
20090207,660,-3.8,4.1,0.68,2.3,0.4,NaN
20090208,2575,-3.1,5.7,0.57,4.4,0.3,NaN
20090209,920,-2.7,2.1,0.59,3.5,5.2,NaN
20090210,825,0.2,4,0.65,5.4,1,NaN
20090211,2405,-2.7,4.4,0.59,4.7,0.1,NaN
20090212,2945,-3.7,3.9,0.53,3.8,0.5,NaN
20090213,1610,-2.9,2.8,0.6,3.3,2,NaN
20090214,3055,-6.8,1.1,0.45,2.7,0,NaN
20090215,1320,-3.9,2.1,0.56,3.9,2.6,NaN
20090216,1295,2,5.6,0.81,3.1,6.8,NaN
20090217,3650,-3.5,4.8,0.52,4.3,0,NaN
20090218,3435,-6.1,1.4,0.43,1.3,0,NaN
20090219,1730,-4.1,2.3,0.53,3.5,2.3,NaN
20090220,1010,1.8,5.8,0.75,3.9,0,NaN
20090221,1575,2.1,6.5,0.75,3.7,3.4,NaN
20090222,1180,4.6,8.3,0.84,6.2,1,NaN
20090223,1235,3.1,5.8,0.75,7,0.4,NaN
20090224,3570,0.5,5.6,0.67,2.9,0.1,NaN
20090225,1565,3.1,6.4,0.76,5.3,1.2,NaN
20090226,1810,5.1,9.1,0.84,7.3,11.3,NaN
20090227,1680,2.1,7.6,0.88,4.3,1.5,NaN
20090228,1580,6.5,9.6,1,2.1,4.9,NaN
20090301,1975,5.6,10.2,0.99,2.2,0.7,NaN
20090302,630,4.5,8,0.88,3.8,0,NaN
20090303,3425,0.3,9.4,0.7,3.8,0,NaN
20090304,5400,2.3,10.8,0.67,6,0,NaN
20090305,910,1,7.2,0.78,3.2,1.2,NaN
20090306,765,3.7,5.8,0.78,4,2.2,NaN
20090307,2920,3.2,8.1,0.7,4,0.2,NaN
20090308,2730,1.2,10,0.78,5.1,2.2,NaN
20090309,2255,1.9,6.2,0.72,6.7,3.8,NaN
20090310,1915,2.4,7,0.75,3.7,6.5,NaN
20090311,4295,0.3,9.1,0.73,4.4,0.3,NaN
20090312,740,2,8.8,0.84,4.1,3,NaN
20090313,5055,1.7,11.5,0.81,3.8,0,NaN
20090314,2825,3.3,12.5,0.89,3.4,1.1,NaN
20090315,1855,5.1,8.2,0.91,5.8,3.1,NaN
20090316,1880,5.4,8.6,0.89,2.7,0,NaN
20090317,6390,1.4,10.6,0.78,5.9,0,NaN
20090318,5370,-0.8,9.8,0.67,3.6,0,NaN
20090319,6665,1,10.2,0.62,3.6,0,NaN
20090320,7825,-0.7,8.5,0.5,2.2,0,NaN
20090321,7680,-2.7,10.7,0.55,3,0,NaN
20090322,3450,4.9,9.9,0.81,7.9,1.1,NaN
20090323,1600,1.2,7.4,0.8,8.9,8.5,NaN
20090324,6025,-3.3,6.6,0.54,6.2,0.1,NaN
20090325,1235,-1.4,4.3,0.62,3.5,6.4,NaN
20090326,2220,1.9,7.9,0.85,4.7,4.4,NaN
20090327,6490,4.3,9.8,0.72,5.7,1.1,NaN
20090328,2550,2.3,9.3,0.78,4.7,2.8,NaN
20090329,4400,-0.6,9.8,0.75,3.6,0,NaN
20090330,8980,-2.1,11.2,0.59,2,0,NaN
20090331,8150,-1,13.6,0.7,1.7,0,NaN
20090401,9045,0.9,15.1,0.93,3.2,0,NaN
20090402,9115,4.2,17.8,0.87,4.4,0,NaN
20090403,9280,4.5,21.1,0.92,2.9,0,NaN
20090404,4560,4.1,15.1,1.03,3.3,0,NaN
20090405,7515,5,14.5,0.9,2.3,0,NaN
20090406,6410,5.5,18.4,0.98,3.3,0,NaN
20090407,8020,9.7,23.1,1.14,3.8,6.8,NaN
20090408,6940,7.5,17.1,1.04,4.3,0.1,NaN
20090409,7895,3.3,17.3,1.03,2.2,0,NaN
20090410,9845,9.3,22.4,1.12,4.5,0,NaN
20090411,9480,10.4,22.9,1.12,3.6,0,NaN
20090412,9780,8,21.9,0.96,3.2,0,NaN
20090413,9730,7.9,21.7,1.03,2.4,0,NaN
20090414,9545,5.3,22.1,1.14,1.6,0,NaN
20090415,10035,8.5,22.7,1.06,3.5,0,NaN
20090416,10375,9.1,22.3,0.91,5.4,0.1,NaN
20090417,10685,6.2,16.9,0.82,6.4,0,NaN
20090418,11485,4.9,18.2,0.69,5.6,0,NaN
20090419,11115,3.7,17.6,0.79,3.7,0,NaN
20090420,11510,3.6,19,0.69,2.6,0,NaN
20090421,11720,3.3,20.7,0.73,1.9,0,NaN
20090422,5125,4.1,13,0.9,5.5,2,NaN
20090423,10115,4.9,17.3,0.94,3.4,0,NaN
20090424,11490,4.3,20.2,0.77,3.2,0,NaN
20090425,11130,10.1,21.9,0.88,5.1,0,NaN
20090426,10435,10.2,24,1.05,3.1,0.4,NaN
20090427,7015,8.8,17.2,1.11,4,10,NaN
20090428,2945,7.8,14.7,1.23,2.6,0,NaN
20090429,2710,6.6,12.6,1.1,2.5,1.8,NaN
20090430,10095,7.2,20.2,1.23,2.9,0,NaN
20090501,11605,9,21.2,1.15,2.2,0,NaN
20090502,10270,5.8,20.6,1.06,2.8,0,NaN
20090503,4080,8.3,16.1,1.1,3.6,0.1,NaN
20090504,9260,6.3,14.3,0.8,4.5,2.2,NaN
20090505,4345,7.4,13.4,1.04,5.2,6.5,NaN
20090506,6735,8.5,15.2,1.09,6.5,0.7,NaN
20090507,7430,9,17.1,1.18,4.2,2.9,NaN
20090508,7140,5.8,18,1.11,4.4,2.2,NaN
20090509,11455,5,17.8,0.86,3.2,0,NaN
20090510,12265,4.1,19.7,0.9,2.5,0,NaN
20090511,9950,6.1,16.4,0.91,5.4,0,NaN
20090512,12405,4.7,17.7,0.8,4.8,0,NaN
20090513,13965,5.3,18.8,0.72,5.3,0,NaN
20090514,11130,7.9,19.3,0.76,5.6,0,NaN
20090515,4095,10.5,15.7,0.92,5.7,10.8,NaN
20090516,10040,9.2,17.3,1.06,3.7,0.2,NaN
20090517,5930,10.2,18.1,1.25,3.7,0.4,NaN
20090518,10825,7.8,20,1.08,3.6,0,NaN
20090519,10570,5.6,21.1,1.07,2.4,3.5,NaN
20090520,10155,8.8,20.5,1.2,2.6,0,NaN
20090521,8350,7.9,22.1,1.25,3.2,1.2,NaN
20090522,8365,5.5,17.1,1.04,3.2,5.7,NaN
20090523,13915,5.3,20.5,1,2.1,0,NaN
20090524,13465,9.4,23,1.16,4.1,0,NaN
20090525,12670,10.6,23.5,1.05,2.6,0.7,NaN
20090526,9940,10.8,25.9,1.44,6.2,0.3,NaN
20090527,9650,7.8,18.5,0.94,6.4,1.3,NaN
20090528,12875,7.9,18.1,1.02,6.9,0,NaN
20090529,14790,6.7,21.6,0.89,4.9,0,NaN
20090530,11525,8.9,21.9,1.04,5.2,0,NaN
20090531,10130,11.8,24.9,1.29,4.1,0.3,NaN
20090601,14075,11.7,25.5,1.24,4.5,0,NaN
20090602,12890,9.6,20.9,1.17,6.4,0,NaN
20090603,10210,6.4,15.7,0.83,7.7,0,NaN
20090604,8255,5.5,14.8,0.86,5.7,1.1,NaN
20090605,8280,3.6,14.9,0.81,3.7,0,NaN
20090606,8325,5.9,17.3,0.84,4.1,4.8,NaN
20090607,4925,9.2,13.9,1.14,3.1,15.1,NaN
20090608,7395,9,18,1.15,3.3,0.2,NaN
20090609,6135,11.3,20,1.33,3.4,8.7,NaN
20090610,6700,12.2,19.1,1.28,4.6,11.2,NaN
20090611,4105,7.7,14.3,1.2,5.6,5.8,NaN
20090612,11830,8.6,16,1.01,6.8,1,NaN
20090613,12395,6.3,18.7,0.99,4.2,0,NaN
20090614,7730,6.3,22.5,1.36,2.7,0,NaN
20090615,4835,9.5,17.2,1.24,2.6,0,NaN
20090616,9805,4.9,17.6,1.02,2.7,0,NaN
20090617,14370,4.9,21.2,1.06,2.3,0,NaN
20090618,9295,11.9,21.5,1.26,4.1,0.3,NaN
20090619,9130,9,18,1.19,4.7,5.5,NaN
20090620,8635,8.5,18.1,1.17,3.8,4,NaN
20090621,8675,8.5,17,1.13,2.9,7,NaN
20090622,10125,5.8,19.9,1.18,3.1,0,NaN
20090623,14895,11.7,23.4,1.27,4.5,0,NaN
20090624,14940,12.8,24,1.23,5.3,0,NaN
20090625,10430,13.1,24.2,1.48,4.8,0,NaN
20090626,6495,16.7,24.9,1.83,4.9,0,NaN
20090627,6730,16.3,22.5,1.67,4.2,0.1,NaN
20090628,9985,13.5,21.7,1.5,3.4,0,NaN
20090629,12220,12.7,26.4,1.6,2.1,0,NaN
20090630,12475,14.4,27.2,1.8,2.5,0,NaN
20090701,12560,15.1,28.4,1.9,3.4,0,NaN
20090702,12545,16.5,29.3,1.9,3,0,NaN
20090703,11900,17.6,31.7,1.88,3,17.9,NaN
20090704,7685,12.9,25.2,1.73,4.3,0,NaN
20090705,14540,11.3,26,1.47,2.8,0.8,NaN
20090706,10135,13.8,25.2,1.58,3.4,4.5,NaN
20090707,11640,11.9,23.2,1.34,4.9,0,NaN
20090708,6610,12.4,20.6,1.46,4.4,7.7,NaN
20090709,8355,11.4,17.9,1.28,5.7,0.7,NaN
20090710,3195,11.2,15.3,1.31,6.7,5.1,NaN
20090711,7295,10,17.8,1.24,4.3,6.1,NaN
20090712,4755,9,19.3,1.55,2.8,2.7,NaN
20090713,12110,11,23.7,1.47,3,1.2,NaN
20090714,12105,15,26.8,1.58,2.1,0,NaN
20090715,12040,15.3,27.1,1.6,3.4,0,NaN
20090716,13830,13.1,26.4,1.32,2.8,0,NaN
20090717,5605,15.4,23.5,1.69,2.9,16.4,NaN
20090718,7290,14.5,20.3,1.5,4.6,0.1,NaN
20090719,10455,12,21.5,1.43,3.7,7.9,NaN
20090720,9040,12.4,20.5,1.37,5.1,10.4,NaN
20090721,11745,10.1,24.7,1.43,2.3,1.5,NaN
20090722,6575,16,25.5,1.96,3.4,1.8,NaN
20090723,4360,13.7,20.3,1.82,3,8.1,NaN
20090724,8795,12.3,22.2,1.51,3.9,2.5,NaN
20090725,8505,10.7,19.7,1.46,5.4,16.6,NaN
20090726,9685,9.6,23.1,1.38,2.9,0,NaN
20090727,11535,14.6,27.7,1.47,4.3,1,NaN
20090728,9250,11.5,22.5,1.42,3.6,0,NaN
20090729,9830,13.6,25.8,1.33,3.5,2.6,NaN
20090730,10065,10.8,21.7,1.43,5.9,1.7,NaN
20090731,10775,8.8,22.3,1.22,2.6,0,NaN
20090801,10430,10,25.9,1.28,3.2,0,NaN
20090802,6035,14.8,22.8,1.69,3.6,0,NaN
20090803,8040,11.9,21.3,1.38,2.9,0,NaN
20090804,12405,11.5,23.3,1.26,1.7,0,NaN
20090805,12775,10.6,25.5,1.36,2,0,NaN
20090806,11665,14.8,28,1.54,3.6,0,NaN
20090807,10555,15.5,30,1.61,3.7,0,NaN
20090808,4705,17,23.9,1.91,3,0.3,NaN
20090809,6090,17,24,1.9,2.7,0,NaN
20090810,7055,14.7,23.4,1.74,2.7,0.4,NaN
20090811,6415,12.9,22.7,1.65,3.6,0.5,NaN
20090812,6150,11,22.5,1.55,4.5,0,NaN
20090813,8555,10.4,22.2,1.35,4.3,0,NaN
20090814,8410,8.5,21.5,1.2,2,0,NaN
20090815,10850,12.8,27.2,1.38,4.4,0,NaN
20090816,10265,13.3,26.4,1.55,3.9,0,NaN
20090817,7810,12.2,23.9,1.51,3.8,0,NaN
20090818,8785,12,23.5,1.4,3.7,0,NaN
20090819,11205,12.7,29.7,1.3,3.1,0,NaN
20090820,9305,17.5,35.3,1.51,4.5,5.9,NaN
20090821,6665,12.9,23.2,1.64,2.9,0,NaN
20090822,9485,10.2,22.7,1.27,2.4,0,NaN
20090823,10105,6.4,25,1.15,2.3,0,NaN
20090824,11025,13,27.5,1.14,4.9,0,NaN
20090825,3490,14.5,22.4,1.65,2.7,0.8,NaN
20090826,9450,10.5,24.6,1.29,3.2,0,NaN
20090827,7915,12.9,27.5,1.51,3.1,0,NaN
20090828,5250,11.5,21.8,1.41,5.2,1.6,NaN
20090829,7610,9.4,19.8,1.16,5.5,0.6,NaN
20090830,6100,9.7,20,1.16,4.3,0,NaN
20090831,9555,9.5,25.3,1.23,3.4,0,NaN
20090901,6210,14,29,1.39,4.4,1.6,NaN
20090902,6885,13,21.4,1.36,4,0,NaN
20090903,4640,13.1,20,1.32,6.2,4.6,NaN
20090904,6745,11.7,19.6,1.12,7.3,2.7,NaN
20090905,4605,11.3,17.7,1.35,6.8,2.2,NaN
20090906,4990,10.9,19.5,1.27,4.1,0,NaN
20090907,7575,11.2,23.3,1.33,2.9,0,NaN
20090908,8930,10.8,27.1,1.33,2.3,0,NaN
20090909,6070,12.2,24,1.5,3.6,0,NaN
20090910,5635,13.2,19.4,1.27,5.1,0,NaN
20090911,7725,7.5,19.9,1.22,4.1,0,NaN
20090912,5620,8,19.7,1.23,3.5,0.5,NaN
20090913,5685,12,20.1,1.23,5.2,0.5,NaN
20090914,3525,13.1,17.6,1.34,5,3.6,NaN
20090915,4820,13.7,20.2,1.39,5.9,2.2,NaN
20090916,7035,11,20.7,1.39,4.6,0,NaN
20090917,6640,7.1,18.3,1.02,2.4,0,NaN
20090918,7855,4.7,20.6,1.05,2.3,0,NaN
20090919,7635,8,24.8,1.22,2.2,0,NaN
20090920,6640,11,24.7,1.43,2.5,0,NaN
20090921,6565,8,19.5,1.14,2,0,NaN
20090922,4985,7.2,22.7,1.09,3.9,0,NaN
20090923,4760,10.6,21.1,1.26,4.5,0.1,NaN
20090924,5345,7.3,19,1.1,3.4,0,NaN
20090925,3090,8.3,17.7,1.2,2.3,0,NaN
20090926,5565,6.6,19.4,1.14,1.5,0,NaN
20090927,6860,2.9,21.6,1.06,1.6,0,NaN
20090928,2185,7.3,18.4,1.35,4.8,0.1,NaN
20090929,1715,10.9,17.1,1.41,4.6,2.5,NaN
20090930,3220,6.7,14.3,1.23,2.6,15.2,NaN
20091001,4970,6.3,15,1.08,5.7,2.4,NaN
20091002,2530,5,12.2,0.97,4,2.9,NaN
20091003,2140,9.4,15.5,1.17,7.6,3.4,NaN
20091004,5040,5.7,15.5,0.96,8.2,0.3,NaN
20091005,3855,3.8,13.8,0.93,3.1,0.4,NaN
20091006,1610,8.1,17.2,1.3,3.1,1.9,NaN
20091007,880,9.9,18.1,1.54,4.6,41.6,NaN
20091008,4380,4.9,15.3,1.03,3.6,2.3,NaN
20091009,5640,1.9,13.2,0.74,2.3,1.2,NaN
20091010,805,4.6,8.8,0.92,3,2.8,NaN
20091011,1865,7.8,12.8,1.13,3.6,3.8,NaN
20091012,4530,3.9,11.9,0.88,5,0,NaN
20091013,3740,-0.3,10.5,0.72,3.2,0.1,NaN
20091014,5195,-0.5,8.9,0.56,4.1,0,NaN
20091015,5585,-1.5,9.9,0.58,4.4,3.3,NaN
20091016,2490,0.6,11.8,0.89,7.3,2.6,NaN
20091017,2715,-0.3,10,0.76,4.7,0.3,NaN
20091018,4310,-2.6,10.8,0.65,1.6,0,NaN
20091019,1770,2.4,10.8,0.82,3,0,NaN
20091020,4670,2.2,10.4,0.66,5.2,0,NaN
20091021,3495,2.7,9.1,0.73,6.2,0,NaN
20091022,960,4.5,7.3,0.79,4.9,0.2,NaN
20091023,875,6.6,8.8,0.95,2,0,NaN
20091024,1605,6.1,11.3,1.05,3.4,3.9,NaN
20091025,2535,10.2,15.7,1.22,4.4,0,NaN
20091026,1005,11.3,12.9,1.23,5.3,4.6,NaN
20091027,1760,9.5,13.4,1.22,2.4,0,NaN
20091028,1880,8.6,14.1,1.11,1.7,0.4,NaN
20091029,1065,9.8,14.5,1.3,1.7,0,NaN
20091030,2520,3.3,11,0.89,3.7,0,NaN
20091031,1680,0.5,7.2,0.69,3.5,0.1,NaN
20091101,1040,3.6,10.5,0.89,4.6,27.7,NaN
20091102,2075,8,13.5,1.14,2.6,0.2,NaN
20091103,2535,3,9.7,0.86,3.2,6.2,NaN
20091104,1600,4.4,10.7,0.89,3.6,4.2,NaN
20091105,670,4.3,9.3,0.94,3.7,3.2,NaN
20091106,1805,7.1,11.5,0.97,4.2,0,NaN
20091107,555,3.6,8.9,0.87,4.3,2.5,NaN
20091108,1490,5.1,9.7,0.88,2.1,0,NaN
20091109,365,4.9,7.7,0.86,4.4,4.3,NaN
20091110,760,5.2,6.3,0.85,2.2,5.4,NaN
20091111,695,5.3,8.1,0.93,2.2,4.3,NaN
20091112,1255,2.6,8.7,0.87,2.7,2.1,NaN
20091113,640,7.3,14.2,1.11,4.6,0.4,NaN
20091114,625,10,14.7,1.12,5.1,0.2,NaN
20091115,1310,6.6,12.5,1.02,4.4,1.5,NaN
20091116,610,4.4,12.1,0.99,3.3,1.3,NaN
20091117,1185,8.1,12,1.01,3.8,0,NaN
20091118,520,8.5,12.1,1.03,8.2,7.6,NaN
20091119,1835,7.2,12.9,0.98,5.7,0,NaN
20091120,1970,6.3,16.3,1.02,4.4,0.2,NaN
20091121,985,6.1,13.4,1.19,2.9,0.2,NaN
20091122,980,8.1,13.2,1.02,5.5,1.1,NaN
20091123,640,8.5,10.7,0.93,8.2,6.7,NaN
20091124,970,8.9,13.2,1.07,7.5,2.2,NaN
20091125,645,7.8,13.3,1,6.7,3,NaN
20091126,770,6.7,10.5,0.86,7.2,0,NaN
20091127,680,4.2,8.1,0.83,5.7,2.9,NaN
20091128,685,4.6,8.4,0.83,5.4,7,NaN
20091129,960,7.1,11.1,0.91,4.3,0.3,NaN
20091130,1280,-0.7,9.1,0.83,1.7,0,NaN
20091201,1870,-4.5,5.3,0.58,2.1,0,NaN
20091202,1740,-5,3.5,0.55,2.8,0.4,NaN
20091203,805,3.4,9,0.8,4.9,0.6,NaN
20091204,600,2.9,7.2,0.73,2.8,0.6,NaN
20091205,380,3.5,6.3,0.73,5.1,5.2,NaN
20091206,785,5.4,11,1,4.1,5,NaN
20091207,1500,2.2,8.7,0.82,3.3,0.4,NaN
20091208,340,2.9,7.3,0.85,2.2,0.1,NaN
20091209,1185,4.6,8.4,0.87,2.9,4.1,NaN
20091210,225,5.1,8.7,0.93,3.5,15.7,NaN
20091211,495,3.5,6.1,0.8,4.2,0.5,NaN
20091212,955,1.1,4.3,0.64,4.3,0,NaN
20091213,560,-3.1,2,0.57,2.8,0,NaN
20091214,635,-3.2,-0.4,0.51,1.2,0,NaN
20091215,525,-4.5,1.2,0.49,1.3,0,NaN
20091216,1725,-5.2,-0.2,0.42,2.7,0,NaN
20091217,1340,-4.3,-0.5,0.4,3.8,0.1,NaN
20091218,910,-10.8,-1.6,0.38,4.9,1,NaN
20091219,890,-12.5,-8.6,0.23,2.1,0.1,NaN
20091220,625,-11.5,-1.4,0.3,4.7,0.3,NaN
20091221,1360,-3.5,0.1,0.44,4.7,0,NaN
20091222,500,-1.8,1.8,0.57,4.7,1.1,NaN
20091223,620,-5.3,1.3,0.52,2.7,0,NaN
20091224,995,-5.1,0.7,0.5,3.5,3.1,NaN
20091225,225,0.6,4.5,0.64,7.1,11.1,NaN
20091226,940,2,6,0.69,6.6,0.2,NaN
20091227,805,2,5.4,0.66,5,1.2,NaN
20091228,1615,-2.6,6,0.67,3.7,0,NaN
20091229,700,-2.3,0.6,0.54,3.5,0.7,NaN
20091230,580,-1.6,-0.1,0.52,5.9,0.9,NaN
20091231,≈,-1,0.3,0.5,5.7,0.4,NaN
