## Site Characteristics
Country     = 'Germany'
Station     = 'Chemnitz, Sachsen'
Description = 'Weather Data from the DWD Station 853 in Chemnitz'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 12.8720; Latitude = 50.7913; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20090101,650,-7.5,-4.5,0.37,3.7,0.1,NaN
20090102,1470,-5.6,-3.1,0.44,2.3,0.6,NaN
20090103,4810,-10.3,-2.9,0.31,4,1.4,NaN
20090104,2190,-3.7,-2.4,0.49,8.3,10.4,NaN
20090105,970,-15.4,-2.2,0.39,5.9,0.8,NaN
20090106,5250,-19.5,-13.1,0.14,2,0,NaN
20090107,2960,-18,-6.1,0.26,4.6,0.4,NaN
20090108,5040,-10.7,-4.7,0.32,1.8,0,NaN
20090109,5200,-11.5,-1.3,0.22,1.9,0,NaN
20090110,5090,-6.4,2.3,0.34,2.2,0,NaN
20090111,5270,-9.9,-0.1,0.29,3,0,NaN
20090112,5600,-6.9,5,0.27,2.7,0,NaN
20090113,5140,-4.3,5.6,0.29,2.8,0,NaN
20090114,4190,-3.4,1,0.36,3.1,0.9,NaN
20090115,2050,-2.6,1,0.6,2.1,0,NaN
20090116,5080,-2.5,2.5,0.51,2.5,0,NaN
20090117,2590,-1.7,3.3,0.56,5.1,1.4,NaN
20090118,2980,1,5,0.62,6.9,0.4,NaN
20090119,3520,-0.2,4.8,0.58,6.7,0,NaN
20090120,1760,-0.5,5.7,0.62,4.6,0,NaN
20090121,1540,-1.7,1.9,0.52,2,0,NaN
20090122,6320,-2.4,4.1,0.46,3.7,0,NaN
20090123,2480,-2.7,5.3,0.51,6.2,0.3,NaN
20090124,4850,0.8,3.6,0.56,6.1,0.6,NaN
20090125,3370,-0.7,3.7,0.59,2.2,0,NaN
20090126,4610,-1.9,1.2,0.52,2.6,0,NaN
20090127,1210,-2.5,-0.7,0.55,2.3,0,NaN
20090128,1050,-3.2,-2,0.5,3,0,NaN
20090129,1840,-3,-1.2,0.47,3.6,0,NaN
20090130,1090,-3.3,-2.3,0.42,3.1,0,NaN
20090131,1920,-4.7,-1.5,0.48,3.2,0.9,NaN
20090201,4050,-5.4,-1.5,0.41,3.9,0,NaN
20090202,2760,-1.7,2.6,0.53,5.5,0,NaN
20090203,5250,-0.7,5.4,0.61,3.3,0,NaN
20090204,7340,-2.2,5.4,0.57,1.9,0,NaN
20090205,6210,-0.2,9.8,0.61,2.4,0,NaN
20090206,7890,0.9,7.7,0.55,3.1,0,NaN
20090207,6880,-1,7,0.6,2,1.3,NaN
20090208,2600,-0.7,1.3,0.55,4.4,0,NaN
20090209,7940,-1.5,2.4,0.47,5.3,2.7,NaN
20090210,3960,-0.8,6.7,0.63,8.6,5.2,NaN
20090211,2580,-3.5,-0.4,0.53,8.7,3.4,NaN
20090212,5750,-6,-1.8,0.44,4.3,0.2,NaN
20090213,8980,-7.3,-1.4,0.41,3.4,0.7,NaN
20090214,3330,-7,-1.5,0.41,4.3,0,NaN
20090215,5960,-6.5,-3,0.36,6.2,1.5,NaN
20090216,2920,-3.7,0.2,0.55,6.8,6.1,NaN
20090217,7790,-6.9,-0.1,0.45,5.4,0.7,NaN
20090218,6370,-6.6,-4,0.38,3.4,0.1,NaN
20090219,6590,-9.4,-2.6,0.35,4.9,1,NaN
20090220,2880,-4,0.3,0.56,6.4,4.2,NaN
20090221,3060,-1.3,0.3,0.59,3.3,2.9,NaN
20090222,2900,-0.4,2.1,0.65,6.6,3.9,NaN
20090223,3040,-1.4,1.7,0.63,7.3,10.9,NaN
20090224,2450,-1.9,-0.4,0.57,3.9,0.2,NaN
20090225,9600,-2.7,2.2,0.56,5.5,0.1,NaN
20090226,3670,0.2,2.8,0.62,8.2,13.2,NaN
20090227,5770,1.2,4.4,0.69,6.7,7.6,NaN
20090228,3840,2.3,4.8,0.79,4,2.1,NaN
20090301,10890,2,9.9,0.78,2,0,NaN
20090302,4100,4.1,8.1,0.8,4.5,1.9,NaN
20090303,7780,1.9,6.6,0.64,2.4,0,NaN
20090304,8850,2,7.4,0.69,3.6,0,NaN
20090305,7220,4.3,11.3,0.81,3.9,1.5,NaN
20090306,2070,2.6,6.1,0.85,2.7,1.3,NaN
20090307,1250,-0.1,2.6,0.67,5.2,1.6,NaN
20090308,5290,-0.4,5.7,0.69,6.9,5.5,NaN
20090309,6680,1.3,5,0.63,7,3.6,NaN
20090310,5430,0.1,4.7,0.66,7.1,8.9,NaN
20090311,5480,0,4.3,0.65,4.9,2,NaN
20090312,4230,0.7,4.3,0.67,6.7,8.2,NaN
20090313,4810,3.4,7.8,0.76,5.6,0.7,NaN
20090314,10170,2.2,10.1,0.73,4.3,4.8,NaN
20090315,3510,4.2,6.6,0.86,6.2,8.3,NaN
20090316,3570,4.4,6.3,0.84,2.9,1,NaN
20090317,5460,1.4,7.9,0.74,5.9,0.1,NaN
20090318,15440,-0.4,7.3,0.57,6.2,0,NaN
20090319,7050,-0.9,5.1,0.53,5,3.5,NaN
20090320,6650,-2.4,0.9,0.42,3.5,0,NaN
20090321,14230,-1.7,5,0.45,2.7,0,NaN
20090322,3250,0.3,6.2,0.58,7.5,2.5,NaN
20090323,2090,0.9,5.9,0.72,10.5,5.1,NaN
20090324,8480,-3.6,4.8,0.52,7.9,2.4,NaN
20090325,10440,-4.6,3.3,0.5,5.5,0.4,NaN
20090326,6570,0.6,6.1,0.68,6.5,0.4,NaN
20090327,7300,3.2,9,0.75,8.5,0.3,NaN
20090328,4650,3,9.1,0.74,6.7,0.6,NaN
20090329,5460,2.3,7.3,0.68,4,1.7,NaN
20090330,6780,1.8,7.9,0.7,2,1.1,NaN
20090331,19810,0.3,12.1,0.61,2.8,0,NaN
20090401,19070,0.8,13.5,0.65,4.1,0,NaN
20090402,19580,3,17.8,0.71,3.6,0,NaN
20090403,19760,9,21.5,0.84,3,0,NaN
20090404,18850,9.4,20.3,1.08,3.8,0.5,NaN
20090405,9460,7.7,13.2,1.06,2.6,0,NaN
20090406,14130,6.7,17.9,1.04,2.5,0,NaN
20090407,18120,10.3,21.2,0.94,2.4,0,NaN
20090408,17450,9.6,20.3,0.96,4.1,0,NaN
20090409,15710,8.6,17.2,0.98,3.6,0,NaN
20090410,19850,8.9,21.9,0.97,3.2,0,NaN
20090411,21030,11.8,23.1,0.96,3.3,0,NaN
20090412,21400,9.1,20.2,0.91,3.6,0,NaN
20090413,21690,6.3,19.6,0.92,2.6,0,NaN
20090414,21320,8.5,20.6,0.95,2.6,0,NaN
20090415,22140,9.3,21.9,0.69,2.4,0,NaN
20090416,21390,9.7,21.8,0.78,4.3,0,NaN
20090417,1530,6.6,11.8,1,3.2,21.7,NaN
20090418,5050,6.9,10.9,1.03,2.4,0,NaN
20090419,20010,6,15.6,0.97,3,0,NaN
20090420,23510,4.2,16.9,0.8,3.6,0,NaN
20090421,24680,4.5,17.1,0.69,3.1,0,NaN
20090422,19330,4.7,15.6,0.8,3.7,1,NaN
20090423,9620,4.2,9.7,0.84,3,0.3,NaN
20090424,23270,3.9,18.6,0.78,2.9,0,NaN
20090425,24590,7.6,21.1,0.77,2.7,0,NaN
20090426,18290,10.6,19.5,0.9,3.4,0,NaN
20090427,21860,12.9,22.9,0.92,3.8,0,NaN
20090428,17050,9.1,22.1,1.03,4,2.9,NaN
20090429,15760,8.1,15.4,1.12,2.4,7.7,NaN
20090430,13710,6,17.2,1.22,2.6,1.7,NaN
20090501,21090,8.6,17.2,1.24,2.8,0,NaN
20090502,26550,7.7,17.8,0.92,2.9,0,NaN
20090503,25600,6.9,20.7,0.91,2.7,3.4,NaN
20090504,10130,4.4,10.2,0.86,3.6,0,NaN
20090505,10510,2.7,10.8,0.79,6.4,6.7,NaN
