## Site Characteristics
Country     = 'Germany'
Station     = 'Bremen'
Description = 'Weather Data from the DWD Station 691 in Bremen'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 8.80; Latitude = 53.05; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,750,-3.6,-0.4,0.53,1.7,0,NaN
20200102,315,-4.6,4.5,0.59,3.4,0,NaN
20200103,395,4,9,0.91,5.7,4.4,NaN
20200104,345,1.9,7.7,0.77,6.7,2.6,NaN
20200105,390,-0.7,6.5,0.75,3.1,0,NaN
20200106,600,0,6.5,0.75,3.6,0.1,NaN
20200107,990,0.6,8.4,0.83,4.7,0,NaN
20200108,335,7.3,11.3,1.08,5.3,0.4,NaN
20200109,250,8.9,12.5,1.23,4.6,6.7,NaN
20200110,805,2.4,12.1,0.95,6.1,0.7,NaN
20200111,1370,0.3,6.7,0.69,4.9,0,NaN
20200112,395,5.5,9.1,0.83,8.3,1.3,NaN
20200113,1430,2.6,8.7,0.84,4.2,0.9,NaN
20200114,615,6.8,12.3,1,7.9,1.2,NaN
20200115,1725,5.3,13.8,0.95,7.7,0.3,NaN
20200116,2145,3.1,9.9,0.83,3.8,0,NaN
20200117,1365,4.6,10.9,0.89,4.3,0.9,NaN
20200118,1310,1.2,6.4,0.73,5.6,2.3,NaN
20200119,1445,-0.1,7.5,0.71,3.5,0.3,NaN
20200120,1220,1.9,6.4,0.8,2.7,0,NaN
20200121,2325,0.9,6.4,0.71,3.9,0,NaN
20200122,760,0.5,7.8,0.81,3.5,0,NaN
20200123,2040,-3.4,7.4,0.71,1.5,0,NaN
20200124,670,-3.6,2.1,0.62,3.2,0,NaN
20200125,610,0.3,2.9,0.67,3.2,0,NaN
20200126,905,0.4,4.9,0.69,3.3,0.7,NaN
20200127,655,4.2,9,0.92,4.5,2,NaN
20200128,720,2.1,7.2,0.78,7.7,3.2,NaN
20200129,845,3,5.5,0.73,7.4,6.2,NaN
20200130,915,4.5,10.2,0.89,7.9,0.4,NaN
20200131,1470,8,12.5,1.07,8.5,1.1,NaN
20200201,825,8.3,12.4,1.09,8.1,0.4,NaN
20200202,525,5.9,8.9,0.93,4.4,5.7,NaN
20200203,825,5.2,9.5,0.95,6.3,2.6,NaN
20200204,2340,3.4,7.3,0.73,5.8,1.9,NaN
20200205,3540,-3.5,7,0.59,3.8,0,NaN
20200206,900,1.2,6.7,0.76,3.6,0,NaN
20200207,1275,2.3,6.9,0.73,3.3,0,NaN
20200208,1510,0,9.1,0.71,3.3,0.1,NaN
20200209,1110,5.9,12.9,0.92,10,12.6,NaN
20200210,1905,0.1,10.1,0.78,10.2,9.5,NaN
20200211,1600,1.7,6.2,0.66,11.2,1.4,NaN
20200212,3075,2.4,6.8,0.62,10.5,0.2,NaN
20200213,585,0.3,4.1,0.68,4.8,8.5,NaN
20200214,1410,3.4,6.7,0.8,2.9,0.4,NaN
20200215,2990,4.2,12.1,0.85,5.9,0,NaN
20200216,615,8.6,18.1,1.08,9.9,9,NaN
20200217,3010,5.6,10.7,0.79,8.9,1.9,NaN
20200218,2900,5,8.5,0.78,8.2,1.4,NaN
20200219,2170,1.6,7.3,0.75,7.1,1.3,NaN
20200220,1225,1.9,9.7,0.86,6.1,5.2,NaN
20200221,2550,3.9,8.4,0.76,8.5,0,NaN
20200222,1105,6.7,9.8,0.84,10.5,2.5,NaN
20200223,755,3.8,8.4,0.82,6.9,13.7,NaN
20200224,1010,4,10.3,0.84,6.4,13.9,NaN
20200225,3335,1.6,10.3,0.73,8.5,0.4,NaN
20200226,2890,1.3,6.5,0.7,4.1,3.1,NaN
20200227,2105,1.2,4.6,0.68,3.7,2.9,NaN
20200228,4530,0.6,7.6,0.67,6.1,12.2,NaN
20200229,3525,1,13.9,0.87,7.2,2.4,NaN
20200301,3290,4.6,9.4,0.7,7,0.2,NaN
20200302,3180,2.3,9.4,0.76,3.2,3.3,NaN
20200303,4875,1.3,9.4,0.76,4,0.9,NaN
20200304,2535,1,8.3,0.74,2.8,2.4,NaN
20200305,3915,1.3,8.9,0.72,4,5.8,NaN
20200306,1090,3.3,6.7,0.76,5.6,7.8,NaN
20200307,4240,3.2,9.4,0.71,4.7,0,NaN
20200308,2820,6.7,11.2,0.9,6,1.4,NaN
20200309,4655,5.9,11.3,0.89,4.9,5.3,NaN
20200310,1220,5.2,12.5,1.07,7.6,7,NaN
20200311,5825,6.2,13.4,0.94,6.3,2.2,NaN
20200312,5340,2,12.4,0.77,10.3,2.2,NaN
20200313,3805,0.2,9.9,0.74,7.7,1.7,NaN
20200314,7005,-2.5,9.5,0.61,3.4,0,NaN
20200315,5055,4.8,14.2,0.84,5.6,0,NaN
20200316,6605,5.5,13.7,0.88,3.2,0,NaN
20200317,5475,1.9,13.3,0.79,3.7,0,NaN
20200318,5150,6.6,15.3,0.89,5.2,0.4,NaN
20200319,1895,6.6,11.4,0.95,3.1,0.4,NaN
20200320,2775,2.7,9.2,0.75,4.6,0,NaN
20200321,6765,0.1,7.7,0.48,5.8,0,NaN
20200322,8665,-1.3,7.7,0.39,5.6,0,NaN
20200323,8690,-2.1,7.7,0.32,5,0,NaN
20200324,8515,-1.3,9.3,0.35,4.7,0,NaN
20200325,8835,-2.1,11.9,0.34,4.3,0,NaN
