## Site Characteristics
Country     = 'Germany'
Station     = 'Bremen'
Description = 'Weather Data from the DWD Station 691 in Bremen'
Source      = 'DWD'
Contact     = 'No Contact'
Longitude = 8.80; Latitude = 53.05; Elevation = 4; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20090101,1862,-2.8,1.7,0.54,2.4,0,NaN
20090102,1827,-8,1.3,0.5,2.2,0,NaN
20090103,959,-8,3,0.51,4.4,4.2,NaN
20090104,504,0.4,3.9,0.68,6,6.4,NaN
20090105,1309,-8.1,0.5,0.41,3.7,0,NaN
20090106,2765,-10.8,-2.3,0.3,1.2,0,NaN
20090107,1127,-10.4,0.4,0.43,3.6,0.4,NaN
20090108,1561,-11.1,-4.5,0.35,1.5,0,NaN
20090109,595,-7.1,-0.7,0.44,2,0,NaN
20090110,2807,-7.3,1.8,0.45,2,0,NaN
20090111,2534,-6,1.8,0.38,3.9,0,NaN
20090112,1897,-1.8,7.1,0.41,5.2,0.5,NaN
20090113,413,3.4,6.4,0.76,4.6,7.1,NaN
20090114,434,2.6,4.1,0.78,2.2,0.7,NaN
20090115,966,1.2,3.3,0.71,1.9,0,NaN
20090116,1575,0,2.2,0.6,4.9,0,NaN
20090117,1029,0.2,5.2,0.66,3.5,0.9,NaN
20090118,441,2.1,5.8,0.73,5.7,1.5,NaN
20090119,1029,1.1,7.4,0.67,5.7,2.1,NaN
20090120,1666,-0.4,6.2,0.63,4.6,0,NaN
20090121,2604,-2.6,4.5,0.58,2.1,0,NaN
20090122,1967,-1.2,5,0.58,5.6,0.5,NaN
20090123,357,0.7,4.1,0.65,5.6,12.1,NaN
20090124,1484,1.6,5.8,0.73,5.4,0.2,NaN
20090125,3241,-0.6,5.2,0.62,3.2,0,NaN
20090126,1211,-3.8,0.5,0.53,3,0,NaN
20090127,882,-2.9,-0.5,0.52,2.5,0,NaN
20090128,1141,-3.5,-1.2,0.51,2.7,0,NaN
20090129,3017,-3,1.1,0.49,3.9,0,NaN
20090130,1589,-3.2,-0.1,0.46,4.7,0,NaN
20090131,2345,-1.7,2.8,0.53,4.2,0,NaN
20090201,1309,-3.8,0.8,0.41,6.6,0,NaN
20090202,1323,-1,2.6,0.51,7.5,0,NaN
20090203,1211,1,2.4,0.59,3.8,0,NaN
20090204,973,0.4,2.1,0.62,1.6,0.3,NaN
20090205,1400,0.3,5.1,0.68,2.6,0.1,NaN
20090206,4235,3,9.4,0.78,3.2,0,NaN
20090207,924,-3.8,4.1,0.68,2.3,0.4,NaN
20090208,3605,-3.1,5.7,0.57,4.4,0.3,NaN
20090209,1288,-2.7,2.1,0.59,3.5,5.2,NaN
20090210,1155,0.2,4,0.65,5.4,1,NaN
20090211,3367,-2.7,4.4,0.59,4.7,0.1,NaN
20090212,4123,-3.7,3.9,0.53,3.8,0.5,NaN
20090213,2254,-2.9,2.8,0.6,3.3,2,NaN
20090214,4277,-6.8,1.1,0.45,2.7,0,NaN
20090215,1848,-3.9,2.1,0.56,3.9,2.6,NaN
20090216,1813,2,5.6,0.81,3.1,6.8,NaN
20090217,5110,-3.5,4.8,0.52,4.3,0,NaN
20090218,4809,-6.1,1.4,0.43,1.3,0,NaN
20090219,2422,-4.1,2.3,0.53,3.5,2.3,NaN
20090220,1414,1.8,5.8,0.75,3.9,0,NaN
20090221,2205,2.1,6.5,0.75,3.7,3.4,NaN
20090222,1652,4.6,8.3,0.84,6.2,1,NaN
20090223,1729,3.1,5.8,0.75,7,0.4,NaN
20090224,4998,0.5,5.6,0.67,2.9,0.1,NaN
20090225,2191,3.1,6.4,0.76,5.3,1.2,NaN
20090226,2534,5.1,9.1,0.84,7.3,11.3,NaN
20090227,2352,2.1,7.6,0.88,4.3,1.5,NaN
20090228,2212,6.5,9.6,1,2.1,4.9,NaN
20090301,2765,5.6,10.2,0.99,2.2,0.7,NaN
20090302,882,4.5,8,0.88,3.8,0,NaN
20090303,4795,0.3,9.4,0.7,3.8,0,NaN
20090304,7560,2.3,10.8,0.67,6,0,NaN
20090305,1274,1,7.2,0.78,3.2,1.2,NaN
20090306,1071,3.7,5.8,0.78,4,2.2,NaN
20090307,4088,3.2,8.1,0.7,4,0.2,NaN
20090308,3822,1.2,10,0.78,5.1,2.2,NaN
20090309,3157,1.9,6.2,0.72,6.7,3.8,NaN
20090310,2681,2.4,7,0.75,3.7,6.5,NaN
20090311,6013,0.3,9.1,0.73,4.4,0.3,NaN
20090312,1036,2,8.8,0.84,4.1,3,NaN
20090313,7077,1.7,11.5,0.81,3.8,0,NaN
20090314,3955,3.3,12.5,0.89,3.4,1.1,NaN
20090315,2597,5.1,8.2,0.91,5.8,3.1,NaN
20090316,2632,5.4,8.6,0.89,2.7,0,NaN
20090317,8946,1.4,10.6,0.78,5.9,0,NaN
20090318,7518,-0.8,9.8,0.67,3.6,0,NaN
20090319,9331,1,10.2,0.62,3.6,0,NaN
20090320,10955,-0.7,8.5,0.5,2.2,0,NaN
20090321,10752,-2.7,10.7,0.55,3,0,NaN
20090322,4830,4.9,9.9,0.81,7.9,1.1,NaN
20090323,2240,1.2,7.4,0.8,8.9,8.5,NaN
20090324,8435,-3.3,6.6,0.54,6.2,0.1,NaN
20090325,1729,-1.4,4.3,0.62,3.5,6.4,NaN
20090326,3108,1.9,7.9,0.85,4.7,4.4,NaN
20090327,9086,4.3,9.8,0.72,5.7,1.1,NaN
20090328,3570,2.3,9.3,0.78,4.7,2.8,NaN
20090329,6160,-0.6,9.8,0.75,3.6,0,NaN
20090330,12572,-2.1,11.2,0.59,2,0,NaN
20090331,11410,-1,13.6,0.7,1.7,0,NaN
20090401,12663,0.9,15.1,0.93,3.2,0,NaN
20090402,12761,4.2,17.8,0.87,4.4,0,NaN
20090403,12992,4.5,21.1,0.92,2.9,0,NaN
20090404,6384,4.1,15.1,1.03,3.3,0,NaN
20090405,10521,5,14.5,0.9,2.3,0,NaN
20090406,8974,5.5,18.4,0.98,3.3,0,NaN
20090407,11228,9.7,23.1,1.14,3.8,6.8,NaN
20090408,9716,7.5,17.1,1.04,4.3,0.1,NaN
20090409,11053,3.3,17.3,1.03,2.2,0,NaN
20090410,13783,9.3,22.4,1.12,4.5,0,NaN
20090411,13272,10.4,22.9,1.12,3.6,0,NaN
20090412,13692,8,21.9,0.96,3.2,0,NaN
20090413,13622,7.9,21.7,1.03,2.4,0,NaN
20090414,13363,5.3,22.1,1.14,1.6,0,NaN
20090415,14049,8.5,22.7,1.06,3.5,0,NaN
